,"CD_i_SIG","CD_i_TILE","CD_ni_SIG","CD_ni_TILE","Ctrl_ni_SIG","Ctrl_ni_TILE","DC_i_SIG","DC_i_TILE","DC_ni_SIG","DC_ni_TILE","UC_i_SIG","UC_i_TILE","UC_ni_SIG","UC_ni_TILE"
51056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6833,0,0,0,1,0,0,0,0,0,0,0,0,0,0
221,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9058,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6540,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2326,0,1,0,1,0,1,0,1,0,1,0,1,0,1
60481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,0,1,0,1,0,1,0,1,0,1,0,1,0,1
29881,0,0,0,1,0,1,0,0,0,0,0,0,0,0
55349,0,0,0,1,0,1,0,0,0,1,0,0,0,1
92745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6556,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8540,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11136,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1373,0,1,0,1,0,1,0,1,0,1,0,1,0,1
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1244,0,1,0,1,0,1,0,1,0,1,0,1,0,1
2730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2530,1,1,0,1,0,1,0,1,0,1,1,1,0,1
9497,0,1,0,1,0,1,0,1,0,1,0,1,0,1
